color short,color name,color code,r,g,b,description,main_color
pale_cornflower_blue,Pale Cornflower Blue,#abcdef,171,205,239,Very soft blue,blue
pale_gold,Pale Gold,#e6be8a,230,190,138,Very soft orange,orange
pale_goldenrod,Pale Goldenrod,#eee8aa,238,232,170,Very soft yellow,yellow
pale_green,Pale Green,#98fb98,152,251,152,Very soft lime green,green
pale_lavender,Pale Lavender,#dcd0ff,220,208,255,Very pale violet,violet
pale_magenta,Pale Magenta,#f984e5,249,132,229,Soft magenta,magenta
pale_pink,Pale Pink,#fadadd,250,218,221,Light grayish red,red
pale_plum,Pale Plum,#dda0dd,221,160,221,Very soft magenta,magenta
pale_red_violet,Pale Red-Violet,#db7093,219,112,147,Soft pink,pink
pale_robin_egg_blue,Pale Robin Egg Blue,#96ded1,150,222,209,Very soft cyan,cyan
pale_silver,Pale Silver,#c9c0bb,201,192,187,Grayish orange,gray
pale_spring_bud,Pale Spring Bud,#ecebbd,236,235,189,Light grayish yellow,yellow
pale_taupe,Pale Taupe,#bc987e,188,152,126,Slightly desaturated orange,orange
pale_violet_red,Pale Violet-Red,#db7093,219,112,147,Soft pink,pink
pansy_purple,Pansy Purple,#78184a,120,24,74,Dark pink,black
papaya_whip,Papaya Whip,#ffefd5,255,239,213,Very pale orange,orange
paris_green,Paris Green,#50c878,80,200,120,Moderate cyan - lime green,green
pastel_blue,Pastel Blue,#aec6cf,174,198,207,Grayish blue,blue
pastel_brown,Pastel Brown,#836953,131,105,83,Mostly desaturated dark orange,black
pastel_gray,Pastel Gray,#cfcfc4,207,207,196,Grayish yellow,yellow
pastel_green,Pastel Green,#7d7,119,221,119,Soft lime green,green
pastel_magenta,Pastel Magenta,#f49ac2,244,154,194,Very soft pink,pink
pastel_orange,Pastel Orange,#ffb347,255,179,71,Light orange,orange
pastel_pink,Pastel Pink,#dea5a4,222,165,164,Very soft red,red
pastel_purple,Pastel Purple,#b39eb5,179,158,181,Grayish magenta,gray
pastel_red,Pastel Red,#ff6961,255,105,97,Light red,red
pastel_violet,Pastel Violet,#cb99c9,203,153,201,Grayish magenta,gray
pastel_yellow,Pastel Yellow,#fdfd96,253,253,150,Very soft yellow,yellow
patriarch,Patriarch,#800080,128,0,128,Dark magenta,black
payne_s_grey,Payne'S Grey,#536878,83,104,120,Mostly desaturated dark blue,black
peach,Peach,#ffe5b4,255,229,180,Pale orange,orange
peach_crayola,Peach (Crayola),#ffcba4,255,203,164,Pale orange,orange
peach_orange,Peach-Orange,#fc9,255,204,153,Very light orange,orange
peach_puff,Peach Puff,#ffdab9,255,218,185,Pale orange,orange
peach_yellow,Peach-Yellow,#fadfad,250,223,173,Very soft orange,orange
pear,Pear,#d1e231,209,226,49,Bright yellow,yellow
pearl,Pearl,#eae0c8,234,224,200,Light grayish orange,gray
pearl_aqua,Pearl Aqua,#88d8c0,136,216,192,Slightly desaturated cyan - lime green,green
pearly_purple,Pearly Purple,#b768a2,183,104,162,Slightly desaturated pink,pink
peridot,Peridot,#e6e200,230,226,0,Pure (or mostly pure) yellow,yellow
periwinkle,Periwinkle,#ccf,204,204,255,Very pale blue,blue
persian_blue,Persian Blue,#1c39bb,28,57,187,Strong blue,blue
persian_green,Persian Green,#00a693,0,166,147,Dark cyan,black
persian_indigo,Persian Indigo,#32127a,50,18,122,Dark violet,black
persian_orange,Persian Orange,#d99058,217,144,88,Soft orange,orange
persian_pink,Persian Pink,#f77fbe,247,127,190,Soft pink,pink
persian_plum,Persian Plum,#701c1c,112,28,28,Very dark red,black
persian_red,Persian Red,#c33,204,51,51,Strong red,red
persian_rose,Persian Rose,#fe28a2,254,40,162,Bright pink,pink
persimmon,Persimmon,#ec5800,236,88,0,Pure (or mostly pure) orange,orange
peru,Peru,#cd853f,205,133,63,Moderate orange,orange
phlox,Phlox,#df00ff,223,0,255,Pure (or mostly pure) magenta,magenta
phthalo_blue,Phthalo Blue,#000f89,0,15,137,Dark blue,black
phthalo_green,Phthalo Green,#123524,18,53,36,Very dark cyan - lime green,black
piggy_pink,Piggy Pink,#fddde6,253,221,230,Light grayish pink,pink
pine_green,Pine Green,#01796f,1,121,111,Dark cyan,black
pink,Pink,#ffc0cb,255,192,203,Very pale red,red
pink_lace,Pink Lace,#ffddf4,255,221,244,Very pale pink,pink
pink_orange,Pink-Orange,#ffa500,255,153,102,Pure (or mostly pure) orange,orange
pink_pearl,Pink Pearl,#e7accf,231,172,207,Very soft pink,pink
pink_sherbet,Pink Sherbet,#f78fa7,247,143,167,Very soft red,red
pistachio,Pistachio,#93c572,147,197,114,Slightly desaturated green,green
platinum,Platinum,#e5e4e2,229,228,226,Light grayish orange,gray
plum_traditional,Plum (Traditional),#8e4585,142,69,133,Dark moderate magenta,black
plum_web,Plum (Web),#dda0dd,221,160,221,Very soft magenta,magenta
portland_orange,Portland Orange,#ff5a36,255,90,54,Light red,red
powder_blue_web,Powder Blue (Web),#b0e0e6,176,224,230,Very soft cyan,cyan
princeton_orange,Princeton Orange,#ff8f00,255,143,0,Pure (or mostly pure) orange,orange
prune,Prune,#701c1c,112,28,28,Very dark red,black
prussian_blue,Prussian Blue,#003153,0,49,83,Very dark blue,black
psychedelic_purple,Psychedelic Purple,#df00ff,223,0,255,Pure (or mostly pure) magenta,magenta
puce,Puce,#c89,204,136,153,Slightly desaturated red,red
pumpkin,Pumpkin,#ff7518,255,117,24,Vivid orange,orange
purple_heart,Purple Heart,#69359c,105,53,156,Dark moderate violet,black
purple_html_css,Purple (Html/Css),#800080,128,0,128,Dark magenta,black
purple_mountain_majesty,Purple Mountain Majesty,#9678b6,150,120,182,Slightly desaturated violet,violet
purple_munsell,Purple (Munsell),#9f00c5,159,0,197,Strong magenta,magenta
purple_pizzazz,Purple Pizzazz,#fe4eda,254,78,218,Soft magenta,magenta
purple_taupe,Purple Taupe,#50404d,80,64,77,Very dark grayish magenta,black
purple_x11,Purple (X11),#a020f0,160,32,240,Vivid violet,violet
quartz,Quartz,#51484f,81,72,79,Very dark grayish magenta,black
rackley,Rackley,#5d8aa8,93,138,168,Mostly desaturated dark blue,black
radical_red,Radical Red,#ff355e,255,53,94,Light red,red
rajah,Rajah,#fbab60,251,171,96,Soft orange,orange
raspberry,Raspberry,#e30b5d,227,11,93,Vivid pink,pink
raspberry_glace,Raspberry Glace,#915f6d,145,95,109,Mostly desaturated dark pink,black
raspberry_pink,Raspberry Pink,#e25098,226,80,152,Soft pink,pink
raspberry_rose,Raspberry Rose,#b3446c,179,68,108,Moderate pink,pink
raw_umber,Raw Umber,#826644,130,102,68,Dark moderate orange,black
razzle_dazzle_rose,Razzle Dazzle Rose,#f3c,255,51,204,Vivid pink,pink
razzmatazz,Razzmatazz,#e3256b,227,37,107,Bright pink,pink
red,Red,#f00,255,0,0,Pure (or mostly pure) red,red
red_brown,Red-Brown,#a52a2a,165,42,42,Dark red,black
red_devil,Red Devil,#860111,134,1,17,Dark red,black
red_munsell,Red (Munsell),#f2003c,242,0,60,Pure (or mostly pure) red,red
red_ncs,Red (Ncs),#c40233,196,2,51,Strong pink,pink
red_orange,Red-Orange,#ff5349,255,83,73,Light red,red
red_pigment,Red (Pigment),#ed1c24,237,28,36,Vivid red,red
red_ryb,Red (Ryb),#fe2712,254,39,18,Vivid red,red
red_violet,Red-Violet,#c71585,199,21,133,Strong pink,pink
redwood,Redwood,#ab4e52,171,78,82,Dark moderate red,black
regalia,Regalia,#522d80,82,45,128,Dark moderate violet,black
resolution_blue,Resolution Blue,#002387,0,35,135,Dark blue,black
rich_black,Rich Black,#004040,0,64,64,Very dark cyan,black
rich_brilliant_lavender,Rich Brilliant Lavender,#f1a7fe,241,167,254,Very soft magenta,magenta
rich_carmine,Rich Carmine,#d70040,215,0,64,Strong pink,pink
rich_electric_blue,Rich Electric Blue,#0892d0,8,146,208,Strong blue,blue
rich_lavender,Rich Lavender,#a76bcf,167,107,207,Slightly desaturated violet,violet
rich_lilac,Rich Lilac,#b666d2,182,102,210,Moderate violet,violet
rich_maroon,Rich Maroon,#b03060,176,48,96,Dark pink,black
rifle_green,Rifle Green,#414833,65,72,51,Very dark grayish green,black
robin_egg_blue,Robin Egg Blue,#0cc,0,204,204,Strong cyan,cyan
rose,Rose,#ff007f,255,0,127,Pure (or mostly pure) pink,pink
rose_bonbon,Rose Bonbon,#f9429e,249,66,158,Bright pink,pink
rose_ebony,Rose Ebony,#674846,103,72,70,Very dark grayish red,black
rose_gold,Rose Gold,#b76e79,183,110,121,Slightly desaturated red,red
rose_madder,Rose Madder,#e32636,227,38,54,Bright red,red
rose_pink,Rose Pink,#f6c,255,102,204,Light pink,pink
rose_quartz,Rose Quartz,#aa98a9,170,152,169,Dark grayish magenta,black
rose_taupe,Rose Taupe,#905d5d,144,93,93,Mostly desaturated dark red,black
rose_vale,Rose Vale,#ab4e52,171,78,82,Dark moderate red,black
rosewood,Rosewood,#65000b,101,0,11,Very dark red,black
rosso_corsa,Rosso Corsa,#d40000,212,0,0,Strong red,red
rosy_brown,Rosy Brown,#bc8f8f,188,143,143,Grayish red,red
royal_azure,Royal Azure,#0038a8,0,56,168,Dark blue,black
royal_blue_traditional,Royal Blue (Traditional),#002366,0,35,102,Very dark blue,black
royal_blue_web,Royal Blue (Web),#4169e1,65,105,225,Bright blue,blue
royal_fuchsia,Royal Fuchsia,#ca2c92,202,44,146,Strong pink,pink
royal_purple,Royal Purple,#7851a9,120,81,169,Dark moderate violet,black
royal_yellow,Royal Yellow,#fada5e,250,218,94,Soft yellow,yellow
rubine_red,Rubine Red,#d10056,209,0,86,Strong pink,pink
ruby,Ruby,#e0115f,224,17,95,Vivid pink,pink
ruby_red,Ruby Red,#9b111e,155,17,30,Dark red,black
ruddy,Ruddy,#ff0028,255,0,40,Pure (or mostly pure) red,red
ruddy_brown,Ruddy Brown,#bb6528,187,101,40,Strong orange,orange
ruddy_pink,Ruddy Pink,#e18e96,225,142,150,Very soft red,red
rufous,Rufous,#a81c07,168,28,7,Dark red,black
russet,Russet,#80461b,128,70,27,Dark orange [Brown tone],black
rust,Rust,#b7410e,183,65,14,Strong orange,orange
rusty_red,Rusty Red,#da2c43,218,44,67,Bright red,red
sacramento_state_green,Sacramento State Green,#00563f,0,86,63,Very dark cyan - lime green,black
saddle_brown,Saddle Brown,#8b4513,139,69,19,Dark orange [Brown tone],black
safety_orange_blaze_orange,Safety Orange (Blaze Orange),#ff6700,255,103,0,Pure (or mostly pure) orange,orange
saffron,Saffron,#f4c430,244,196,48,Bright yellow,yellow
salmon,Salmon,#ff8c69,255,140,105,Very light red,red
salmon_pink,Salmon Pink,#ff91a4,255,145,164,Very light red,red
sand,Sand,#c2b280,194,178,128,Slightly desaturated yellow,yellow
sand_dune,Sand Dune,#967117,150,113,23,Dark orange [Brown tone],black
sandstorm,Sandstorm,#ecd540,236,213,64,Bright yellow,yellow
sandy_brown,Sandy Brown,#f4a460,244,164,96,Soft orange,orange
sandy_taupe,Sandy Taupe,#967117,150,113,23,Dark orange [Brown tone],black
sangria,Sangria,#92000a,146,0,10,Dark red,black
sap_green,Sap Green,#507d2a,80,125,42,Dark moderate green,black
sapphire,Sapphire,#0f52ba,15,82,186,Strong blue,blue
sapphire_blue,Sapphire Blue,#0067a5,0,103,165,Dark blue,black
satin_sheen_gold,Satin Sheen Gold,#cba135,203,161,53,Moderate orange,orange
scarlet,Scarlet,#ff2400,255,36,0,Pure (or mostly pure) red,red
scarlet_crayola,Scarlet (Crayola),#fd0e35,253,14,53,Vivid red,red
school_bus_yellow,School Bus Yellow,#ffd800,255,216,0,Pure (or mostly pure) yellow,yellow
screamin_green,Screamin' Green,#76ff7a,118,255,122,Very light lime green,green
sea_blue,Sea Blue,#006994,0,105,148,Dark blue,black
sea_green,Sea Green,#2e8b57,46,139,87,Dark moderate cyan - lime green,black
seal_brown,Seal Brown,#321414,50,20,20,Very dark (mostly black) red,black
seashell,Seashell,#fff5ee,255,245,238,Very pale (mostly white) orange,white
selective_yellow,Selective Yellow,#ffba00,255,186,0,Pure (or mostly pure) orange,orange
sepia,Sepia,#704214,112,66,20,Very dark orange [Brown tone],black
shadow,Shadow,#8a795d,138,121,93,Mostly desaturated dark orange,black
shamrock_green,Shamrock Green,#009e60,0,158,96,Dark cyan - lime green,black
shocking_pink,Shocking Pink,#fc0fc0,252,15,192,Vivid pink,pink
shocking_pink_crayola,Shocking Pink (Crayola),#ff6fff,255,111,255,Very light magenta,magenta
sienna,Sienna,#882d17,136,45,23,Dark red,black
silver,Silver,#c0c0c0,192,192,192,Light gray,gray
sinopia,Sinopia,#cb410b,203,65,11,Strong orange,orange
skobeloff,Skobeloff,#007474,0,116,116,Dark cyan,black
sky_blue,Sky Blue,#87ceeb,135,206,235,Very soft blue,blue
sky_magenta,Sky Magenta,#cf71af,207,113,175,Slightly desaturated pink,pink
slate_blue,Slate Blue,#6a5acd,106,90,205,Moderate blue,blue
slate_gray,Slate Gray,#708090,112,128,144,Dark grayish blue,black
smalt_dark_powder_blue,Smalt (Dark Powder Blue),#039,0,51,153,Dark blue,black
smokey_topaz,Smokey Topaz,#933d41,147,61,65,Dark moderate red,black
smoky_black,Smoky Black,#100c08,16,12,8,Very dark (mostly black) orange [Brown tone],black
snow,Snow,#fffafa,255,250,250,Very pale (mostly white) red,white
spiro_disco_ball,Spiro Disco Ball,#0fc0fc,15,192,252,Vivid blue,blue
spring_bud,Spring Bud,#a7fc00,167,252,0,Pure (or mostly pure) green,green
spring_green,Spring Green,#00ff7f,0,255,127,Pure (or mostly pure) cyan - lime green,green
st_patrick_s_blue,St. Patrick'S Blue,#23297a,35,41,122,Dark blue,black
steel_blue,Steel Blue,#4682b4,70,130,180,Moderate blue,blue
stil_de_grain_yellow,Stil De Grain Yellow,#fada5e,250,218,94,Soft yellow,yellow
stizza,Stizza,#900,153,0,0,Dark red,black
stormcloud,Stormcloud,#4f666a,79,102,106,Very dark grayish cyan,black
straw,Straw,#e4d96f,228,217,111,Soft yellow,yellow
sunglow,Sunglow,#fc3,255,204,51,Vivid yellow,yellow
sunset,Sunset,#fad6a5,250,214,165,Very soft orange,orange
tan,Tan,#d2b48c,210,180,140,Slightly desaturated orange,orange
tangelo,Tangelo,#f94d00,249,77,0,Pure (or mostly pure) orange,orange
tangerine,Tangerine,#f28500,242,133,0,Pure (or mostly pure) orange,orange
tangerine_yellow,Tangerine Yellow,#fc0,255,204,0,Pure (or mostly pure) yellow,yellow
tango_pink,Tango Pink,#e4717a,228,113,122,Soft red,red
taupe,Taupe,#483c32,72,60,50,Very dark grayish orange,black
taupe_gray,Taupe Gray,#8b8589,139,133,137,Dark grayish pink,black
tea_green,Tea Green,#d0f0c0,208,240,192,Very soft green,green
tea_rose_orange,Tea Rose (Orange),#f88379,248,131,121,Soft red,red
tea_rose_rose,Tea Rose (Rose),#f4c2c2,244,194,194,Very soft red,red
teal,Teal,#008080,0,128,128,Dark cyan,black
teal_blue,Teal Blue,#367588,54,117,136,Dark moderate cyan,black
teal_green,Teal Green,#00827f,0,130,127,Dark cyan,black
telemagenta,Telemagenta,#cf3476,207,52,118,Moderate pink,pink
tenn_tawny,Tenné (Tawny),#cd5700,205,87,0,Strong orange,orange
terra_cotta,Terra Cotta,#e2725b,226,114,91,Soft red,red
thistle,Thistle,#d8bfd8,216,191,216,Grayish magenta,gray
thulian_pink,Thulian Pink,#de6fa1,222,111,161,Soft pink,pink
tickle_me_pink,Tickle Me Pink,#fc89ac,252,137,172,Soft pink,pink
tiffany_blue,Tiffany Blue,#0abab5,10,186,181,Strong cyan,cyan
tiger_s_eye,Tiger'S Eye,#e08d3c,224,141,60,Bright orange,orange
timberwolf,Timberwolf,#dbd7d2,219,215,210,Light grayish orange,gray
titanium_yellow,Titanium Yellow,#eee600,238,230,0,Pure (or mostly pure) yellow,yellow
tomato,Tomato,#ff6347,255,99,71,Light red,red
toolbox,Toolbox,#746cc0,116,108,192,Slightly desaturated blue,blue
topaz,Topaz,#ffc87c,255,200,124,Very light orange,orange
tractor_red,Tractor Red,#fd0e35,253,14,53,Vivid red,red
trolley_grey,Trolley Grey,#808080,128,128,128,Dark gray,black
tropical_rain_forest,Tropical Rain Forest,#00755e,0,117,94,Dark cyan,black
true_blue,True Blue,#0073cf,0,115,207,Strong blue,blue
tufts_blue,Tufts Blue,#417dc1,65,125,193,Moderate blue,blue
tumbleweed,Tumbleweed,#deaa88,222,170,136,Very soft orange,orange
turkish_rose,Turkish Rose,#b57281,181,114,129,Slightly desaturated red,red
turquoise,Turquoise,#30d5c8,48,213,200,Strong cyan,cyan
turquoise_blue,Turquoise Blue,#00ffef,0,255,239,Pure (or mostly pure) cyan,cyan
turquoise_green,Turquoise Green,#a0d6b4,160,214,180,Slightly desaturated cyan - lime green,green
tuscan_red,Tuscan Red,#7c4848,124,72,72,Mostly desaturated dark red,black
twilight_lavender,Twilight Lavender,#8a496b,138,73,107,Dark moderate pink,black
tyrian_purple,Tyrian Purple,#66023c,102,2,60,Very dark pink,black
ua_blue,Ua Blue,#03a,0,51,170,Dark blue,black
ua_red,Ua Red,#d9004c,217,0,76,Pure (or mostly pure) pink,pink
ube,Ube,#8878c3,136,120,195,Slightly desaturated blue,blue
ucla_blue,Ucla Blue,#536895,83,104,149,Mostly desaturated dark blue,black
ucla_gold,Ucla Gold,#ffb300,255,179,0,Pure (or mostly pure) orange,orange
ufo_green,Ufo Green,#3cd070,60,208,112,Moderate cyan - lime green,green
ultra_pink,Ultra Pink,#ff6fff,255,111,255,Very light magenta,magenta
ultramarine,Ultramarine,#120a8f,18,10,143,Dark blue,black
ultramarine_blue,Ultramarine Blue,#4166f5,65,102,245,Bright blue,blue
umber,Umber,#635147,99,81,71,Very dark grayish orange,black
unbleached_silk,Unbleached Silk,#ffddca,255,221,202,Very pale orange,orange
united_nations_blue,United Nations Blue,#5b92e5,91,146,229,Soft blue,blue
university_of_california_gold,University Of California Gold,#b78727,183,135,39,Strong orange,orange
unmellow_yellow,Unmellow Yellow,#ff6,255,255,102,Light yellow,yellow
up_forest_green,Up Forest Green,#014421,1,68,33,Very dark cyan - lime green,black
up_maroon,Up Maroon,#7b1113,123,17,19,Dark red,black
upsdell_red,Upsdell Red,#ae2029,174,32,41,Dark red,black
urobilin,Urobilin,#e1ad21,225,173,33,Vivid orange,orange
usafa_blue,Usafa Blue,#004f98,0,79,152,Dark blue,black
usc_cardinal,Usc Cardinal,#900,153,0,0,Dark red,black
usc_gold,Usc Gold,#fc0,255,204,0,Pure (or mostly pure) yellow,yellow
utah_crimson,Utah Crimson,#d3003f,211,0,63,Strong pink,pink
vanilla,Vanilla,#f3e5ab,243,229,171,Very soft yellow,yellow
vegas_gold,Vegas Gold,#c5b358,197,179,88,Moderate yellow,yellow
venetian_red,Venetian Red,#c80815,200,8,21,Strong red,red
verdigris,Verdigris,#43b3ae,67,179,174,Moderate cyan,cyan
vermilion_cinnabar,Vermilion (Cinnabar),#e34234,227,66,52,Bright red,red
vermilion_plochere,Vermilion (Plochere),#d9603b,217,96,59,Bright red,red
veronica,Veronica,#a020f0,160,32,240,Vivid violet,violet
violet,Violet,#8f00ff,143,0,255,Pure (or mostly pure) violet,violet
violet_blue,Violet-Blue,#324ab2,50,74,178,Dark blue,black
violet_color_wheel,Violet (Color Wheel),#7f00ff,127,0,255,Pure (or mostly pure) violet,violet
violet_ryb,Violet (Ryb),#8601af,134,1,175,Dark magenta,black
violet_web,Violet (Web),#ee82ee,238,130,238,Soft magenta,magenta
viridian,Viridian,#40826d,64,130,109,Dark moderate cyan - lime green,black
vivid_auburn,Vivid Auburn,#922724,146,39,36,Dark red,black
vivid_burgundy,Vivid Burgundy,#9f1d35,159,29,53,Dark red,black
vivid_cerise,Vivid Cerise,#da1d81,218,29,129,Vivid pink,pink
vivid_tangerine,Vivid Tangerine,#ffa089,255,160,137,Very light red,red
vivid_violet,Vivid Violet,#9f00ff,159,0,255,Pure (or mostly pure) violet,violet
warm_black,Warm Black,#004242,0,66,66,Very dark cyan,black
waterspout,Waterspout,#a4f4f9,164,244,249,Very soft cyan,cyan
wenge,Wenge,#645452,100,84,82,Very dark grayish red,black
wheat,Wheat,#f5deb3,245,222,179,Very soft orange,orange
white,White,#ffffff,255,255,255,White,white
white_smoke,White Smoke,#f5f5f5,245,245,245,Very light gray (mostly white),white
wild_blue_yonder,Wild Blue Yonder,#a2add0,162,173,208,Grayish blue,blue
wild_strawberry,Wild Strawberry,#ff43a4,255,67,164,Light pink,pink
wild_watermelon,Wild Watermelon,#fc6c85,252,108,133,Soft red,red
wine,Wine,#722f37,114,47,55,Very dark desaturated red,black
wine_dregs,Wine Dregs,#673147,103,49,71,Very dark desaturated pink,black
wisteria,Wisteria,#c9a0dc,201,160,220,Very soft violet,violet
wood_brown,Wood Brown,#c19a6b,193,154,107,Slightly desaturated orange,orange
xanadu,Xanadu,#738678,115,134,120,Dark grayish cyan - lime green,black
yale_blue,Yale Blue,#0f4d92,15,77,146,Dark blue,black
yellow,Yellow,#ffff00,255,255,0,Pure (or mostly pure) yellow,yellow
yellow_green,Yellow-Green,#9acd32,154,205,50,Strong green,green
yellow_munsell,Yellow (Munsell),#efcc00,239,204,0,Pure (or mostly pure) yellow,yellow
yellow_ncs,Yellow (Ncs),#ffd300,255,211,0,Pure (or mostly pure) yellow,yellow
yellow_orange,Yellow Orange,#ffae42,255,174,66,Light orange,orange
yellow_process,Yellow (Process),#ffef00,255,239,0,Pure (or mostly pure) yellow,yellow
yellow_ryb,Yellow (Ryb),#fefe33,254,254,51,Bright yellow,yellow
zaffre,Zaffre,#0014a8,0,20,168,Dark blue,black
zinnwaldite_brown,Zinnwaldite Brown,#2c1608,44,22,8,Very dark (mostly black) orange [Brown tone],black
